symbol,ticker,exchange,article
RHI,RHI,NYSE,Robert_Half
JBL,JBL,NYSE,Jabil
R,R,NYSE,Ryder
SPGI,SPGI,NYSE,S&P_Global
EMC,EMC,NYSE,EMC_Corporation
BX,BX,NYSE,Blackstone_Inc.
BSX,BSX,NYSE,Boston_Scientific
HON,HON,NYSE,Honeywell
SPG,SPG,NYSE,Simon_Property_Group
SO,SO,NYSE,Southern_Company
EMN,EMN,NYSE,Eastman_Chemical_Company
FMC,FMC,NYSE,FMC_Corporation
LYB,LYB,NYSE,LyondellBasell
CAH,CAH,NYSE,Cardinal_Health
OGN,OGN,NYSE,Organon_&_Co.
STJ,STJ,NYSE,St._Jude_Medical
SYK,SYK,NYSE,Stryker_Corporation
SYY,SYY,NYSE,Sysco
CF,CF,NYSE,CF_Industries
AGN,AGN,NYSE,Allergan
USB,USB,NYSE,U.S._Bancorp
WAB,WAB,NYSE,Wabtec
AON,AON,NYSE,Aon_plc
WFC,WFC,NYSE,Wells_Fargo
DRI,DRI,NYSE,Darden_Restaurants
BEN,BEN,NYSE,Franklin_Templeton
BAX,BAX,NYSE,Baxter_International
MSCI,MSCI,NYSE,MSCI
UBER,UBER,NYSE,Uber
MDB,MDB,NASDAQ,MongoDB_Inc.
ABMD,ABMD,NASDAQ,Abiomed
RMD,RMD,NYSE,ResMed
O,O,NYSE,Realty_Income
REG,REG,NYSE,Regency_Centers
RSG,RSG,NYSE,Republic_Services
ROL,ROL,NYSE,"Rollins,_Inc."
SCG,SCG,NYSE,SCANA
SLG,SLG,NYSE,SL_Green_Realty
SEE,SEE,NYSE,Sealed_Air
SRE,SRE,NYSE,Sempra
NOW,NOW,NYSE,ServiceNow
SIG,SIG,NYSE,Signet_Jewelers
LNT,LNT,NASDAQ,Alliant_Energy
SWN,SWN,NYSE,Southwestern_Energy
SE,SE,NYSE,Spectra_Energy
TE,TE,NYSE,TECO_Energy
TRGP,TRGP,NYSE,Targa_Resources
APD,APD,NYSE,Air_Products
GPS,GAP,NYSE,Gap_Inc.
RCL,RCL,NYSE,Royal_Caribbean_Group
PBI,PBI,NYSE,Pitney_Bowes
ASML,ASML,NASDAQ,ASML
ETFC,ETFC,NASDAQ,E-Trade
ISRG,ISRG,NASDAQ,Intuitive_Surgical
VRTX,VRTX,NASDAQ,Vertex_Pharmaceuticals
FTNT,FTNT,NASDAQ,Fortinet
CASY,CASY,NASDAQ,Casey's
CHTR,CHTR,NASDAQ,Charter_Communications
EXE,EXE,NASDAQ,Expand_Energy
CRWD,CRWD,NASDAQ,CrowdStrike
CLX,CLX,NYSE,Clorox
HUM,HUM,NYSE,Humana
RF,RF,NYSE,Regions_Financial_Corporation
HUBB,HUBB,NYSE,Hubbell_Incorporated
WMB,WMB,NYSE,Williams_Companies
PEG,PEG,NYSE,Public_Service_Enterprise_Group
KMI,KMI,NYSE,Kinder_Morgan
VEEV,VEEV,NYSE,Veeva_Systems
STE,STE,NYSE,Steris
INVH,INVH,NYSE,Invitation_Homes
RTX,RTX,NYSE,RTX_Corporation
HWM,HWM,NYSE,Howmet_Aerospace
COST,COST,NASDAQ,Costco
NTAP,NTAP,NASDAQ,NetApp
AKAM,AKAM,NASDAQ,Akamai_Technologies
VRSN,VRSN,NASDAQ,Verisign
ALTR,ALTR,NASDAQ,Altair_Engineering
VZ,VZ,NASDAQ,Verizon
PENN,PENN,NASDAQ,Penn_Entertainment
PBCT,PBCT,NASDAQ,People's_United_Financial
WDC,WDC,NASDAQ,Western_Digital
F,F,NYSE,Ford_Motor_Company
TDY,TDY,NYSE,Teledyne_Technologies
TFX,TFX,NYSE,Teleflex
TPL,TPL,NYSE,Texas_Pacific_Land_Corporation
SJM,SJM,NYSE,The_J.M._Smucker_Company
MOS,MOS,NYSE,The_Mosaic_Company
INTC,INTC,NASDAQ,Intel
ANSS,ANSS,NASDAQ,Ansys
ARM,ARM,NASDAQ,Arm_Holdings
TDC,TDC,NYSE,Teradata
HIG,HIG,NYSE,The_Hartford
MO,MO,NYSE,Altria
MPC,MPC,NYSE,Marathon_Petroleum
VFC,VFC,NYSE,VF_Corporation
FDX,FDX,NYSE,FedEx
AMCR,AMCR,NYSE,Amcor
CAT,CAT,NYSE,Caterpillar_Inc.
COL,COL,NYSE,Rockwell_Collins
AEE,AEE,NYSE,Ameren
AEP,AEP,NYSE,American_Electric_Power
CMG,CMG,NYSE,Chipotle_Mexican_Grill
AWK,AWK,NYSE,American_Water_Works
COR,COR,NYSE,Cencora
AME,AME,NYSE,Ametek
APH,APH,NYSE,Amphenol
BALL,BALL,NYSE,Ball_Corporation
CTRA,CTRA,NYSE,Coterra
PXD,PXD,NYSE,Pioneer_Natural_Resources
RRC,RRC,NYSE,Range_Resources
TSG,TSG,NYSE,Sabre_Corporation
AOS,AOS,NYSE,A._O._Smith
AYI,AYI,NYSE,Acuity_Brands
AAP,AAP,NYSE,Advance_Auto_Parts
AMT,AMT,NYSE,American_Tower
NET,NET,NYSE,Cloudflare
ARES,ARES,NYSE,Ares_Management
AJG,AJG,NYSE,Arthur_J._Gallagher_&_Co.
AIZ,AIZ,NYSE,Assurant
CRM,CRM,NYSE,Salesforce
TRV,TRV,NYSE,The_Travelers_Companies
RAI,RAI,NYSE,Reynolds_American
KSS,KSS,NYSE,Kohl's
MUR,MUR,NYSE,Murphy_Oil
NEE,NEE,NYSE,NextEra_Energy
BC,BC,NYSE,Brunswick_Corporation
CDW,CDW,NASDAQ,CDW
CME,CME,NASDAQ,CME_Group
CERN,CERN,NASDAQ,Oracle_Health
VTRS,VTRS,NASDAQ,Viatris
TTWO,TTWO,NASDAQ,Take-Two_Interactive
BIIB,BIIB,NASDAQ,Biogen
HSIC,HSIC,NASDAQ,Henry_Schein
CTXS,CTXS,NASDAQ,Citrix_Systems
CHRW,CHRW,NASDAQ,C._H._Robinson
PAYX,PAYX,NASDAQ,Paychex
NTRS,NTRS,NASDAQ,Northern_Trust
LLTC,LLTC,NASDAQ,Linear_Technology
